bill_id,people_id,position
467488,2860,37
467488,2871,13
467488,2875,69
467488,2876,36
467488,10822,25
467488,10825,56
467488,10832,8
467488,10833,71
467488,10834,53
467488,10835,72
467488,10836,55
467488,10839,11
467488,10840,18
467488,10848,50
467488,10849,46
467488,10852,51
467488,10855,12
467488,11166,2
467488,11167,7
467488,11168,9
467488,11170,14
467488,11174,20
467488,11176,26
467488,11177,27
467488,11180,29
467488,11181,39
467488,11182,45
467488,11184,47
467488,11185,49
467488,11189,73
467488,11190,54
467488,11191,58
467488,11192,59
467488,11193,63
467488,11196,65
467488,11197,66
467488,13924,22
467488,13925,21
467488,14516,3
467488,14517,5
467488,14518,10
467488,14520,15
467488,14521,17
467488,14522,28
467488,14523,31
467488,14524,32
467488,14525,33
467488,14526,34
467488,14527,35
467488,14528,38
467488,14530,40
467488,14531,41
467488,14532,48
467488,14533,52
467488,14535,60
467488,14536,62
467488,14537,67
