people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
18751,"Pamela Hornberger",Pamela,,Hornberger,,,2,R,1,Rep,HD-032,252134,170397,,Pamela_Hornberger,572999,0
18752,"Bronna Kahle",Bronna,,Kahle,,,2,R,1,Rep,HD-057,39849923,170477,,Bronna_Kahle,570726,0
18753,"Beau LaFave",Beau,Matthew,LaFave,,,2,R,1,Rep,HD-108,39850015,170674,,Beau_LaFave,575414,0
18754,"Kimberly LaSata",Kimberly,,LaSata,,Kim,2,R,2,Sen,SD-021,39849956,170533,,Kim_LaSata,577293,0
18755,"Donna Lasinski",Donna,,Lasinski,,,1,D,1,Rep,HD-052,15621315,170460,,Donna_Lasinski,578177,0
18756,"Jim Lilly",Jim,,Lilly,,,2,R,1,Rep,HD-089,26726716,170577,,Jim_Lilly_(Michigan),567637,0
18758,"Steven Marino",Steven,,Marino,,Steve,2,R,1,Rep,HD-024,20944502,160578,,Steve_Marino,579744,0
18760,"Ronnie Peterson",Ronnie,D.,Peterson,,,1,D,1,Rep,HD-054,1095698,89558,,Ronnie_Peterson,580457,0
18761,"Yousef Rabhi",Yousef,,Rabhi,,,1,D,1,Rep,HD-053,21049195,145351,,Yousef_Rabhi,579766,0
18762,"John Reilly",John,M.,Reilly,,,2,R,1,Rep,HD-046,66716,37803,,John_Reilly,496518,0
18763,"Terry Sabo",Terry,J.,Sabo,,,1,D,1,Rep,HD-092,15618153,145346,,Terry_Sabo,573021,0
18764,"Tim Sneller",Tim,,Sneller,,,1,D,1,Rep,HD-050,39849907,170455,,Tim_Sneller,579762,0
18765,"William Sowerby",William,J.,Sowerby,,,1,D,1,Rep,HD-031,14627467,76800,,William_Sowerby,564603,0
18766,"Scott VanSingel",Scott,A.,VanSingel,,,2,R,1,Rep,HD-100,139777,170627,,Scott_VanSingel,564629,0
18767,"Curtis VanderWall",Curtis,,VanderWall,,Curt,2,R,2,Sen,SD-035,39850000,132533,,Curt_VanderWall,565334,0
18768,"Jason Wentworth",Jason,,Wentworth,,,2,R,1,Rep,HD-097,39849990,170609,,Jason_Wentworth,575410,0
18769,"Jeffrey Yaroch",Jeffrey,,Yaroch,,Jeff,2,R,1,Rep,HD-033,1702331,170415,,Jeff_Yaroch,576411,0
18770,"Jewell Jones",Jewell,,Jones,,,1,D,1,Rep,HD-011,38522471,173895,,Jewell_Jones,591955,0
19008,"Diana Farrington",Diana,,Farrington,,,2,R,1,Rep,HD-030,153347,170380,,Diana_Farrington,565328,0
19119,"Elizabeth Griffin",Elizabeth,J.,Griffin,,Beth,2,R,1,Rep,HD-066,192428,86866,,Elizabeth_Gleicher,575404,0
19137,"Steven Johnson",Steven,,Johnson,,,2,R,1,Rep,HD-072,29319821,170519,,Steven_Johnson_(Michigan),580471,0
19138,"Daire Rendon",Daire,L.,Rendon,,,2,R,1,Rep,HD-103,1001419,170648,,Daire_Rendon,564633,0
19142,"Julie Calley",Julie,,Calley,,,2,R,1,Rep,HD-087,14670342,113041,,Julie_Calley,565332,0
19206,"Sylvia Santana",Sylvia,,Santana,,,1,D,2,Sen,SD-003,208690,170218,,Sylvia_Santana,570702,0
19212,"Cara Clemente",Cara,,Clemente,,,1,D,1,Rep,HD-014,39849836,170249,,Cara_Clemente,576403,0
19450,"Sara Cambensy",Sara,,Cambensy,,,1,D,1,Rep,HD-109,39850021,170683,,Sara_Cambensy,580514,0
19451,"Tenisha Yancey",Tenisha,,Yancey,,,1,D,1,Rep,HD-001,26329146,176433,,Tenisha_Yancey,644451,0
19699,"Sarah Anthony",Sarah,,Anthony,,,1,D,1,Rep,HD-068,45285874,145280,,Sarah_Anthony,664412,0
19704,"Adam Hollier",Adam,J.,Hollier,,,1,D,2,Sen,SD-002,12719958,139871,,Adam_Hollier,341069,0
20365,"Andrea Schroeder",Andrea,K.,Schroeder,,,2,R,1,Rep,HD-043,100778,146898,,Andrea_Schroeder,479822,0
20366,"Annette Glenn",Annette,,Glenn,,,2,R,1,Rep,HD-098,38514501,182929,,Annette_Glenn,664439,0
20367,"Graham Filler",Graham,,Filler,,,2,R,1,Rep,HD-093,38477811,182924,,Graham_Filler,647412,0
20368,"Kara Hope",Kara,,Hope,,,1,D,1,Rep,HD-067,16239373,145282,,Kara_Hope,661909,0
20369,"Ryan Berman",Ryan,,Berman,,,2,R,1,Rep,HD-039,45285797,182786,,Ryan_Berman,661877,0
20419,"Gregory Markkanen",Gregory,,Markkanen,,,2,R,1,Rep,HD-110,39850022,170685,,Gregory_Markkanen,580517,0
20642,"Kyra Bolden",Kyra,,"Harris Bolden",,,1,D,1,Rep,HD-035,45285784,182769,,Kyra_Harris_Bolden,664384,0
20643,"Ann Bollin",Ann,,Bollin,,,2,R,1,Rep,HD-042,42087655,182799,,Ann_Bollin,654192,0
20644,"Julie Brixie",Julie,,Brixie,,,1,D,1,Rep,HD-069,129639,76611,,Julie_Brixie,661914,0
20645,"Brenda Carter",Brenda,,Carter,,,1,D,1,Rep,HD-029,26307234,182757,,Brenda_Carter_(Michigan),654190,0
20646,"Tyrone Carter",Tyrone,,Carter,,,1,D,1,Rep,HD-006,321092,153394,,Tyrone_Carter,494553,0
20647,"John Cherry",John,D.,Cherry,,,1,D,1,Rep,HD-049,16199449,182816,,John_Cherry_(Michigan_representative),664795,0
